danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.219,0.00913,-42.727,0.0352,0.993,0.882,0.0807,0.0702,75.77,3qLZnIVAiGexuNuG8Aptrq,187293
0.505,0.679,-9.857,0.0337,2.55e-05,0.925,0.0805,0.22,119.177,4QFPBLtFUbWsl7P5v589mj,229429
0.537,0.631,-5.375,0.136,0.249,0.0,0.0966,0.885,177.907,2YwTLdl6iX2QckWgEhDdpt,287933
0.644,0.51,-11.295,0.0321,0.598,0.677,0.0775,0.875,123.483,2eAMb00IDT4wnC794mG0ps,150573
0.374,0.914,-7.351,0.0554,0.00614,0.904,0.409,0.17,93.407,1CFhrKo03wnvZwSTqJZUyv,132173
0.302,0.228,-13.838,0.0315,0.819,0.897,0.1,0.0351,100.933,5TB0yj8ez5cwaGF4rS9iO5,244667
0.437,0.0529,-27.939,0.125,0.928,0.278,0.177,0.117,83.327,2gGw376xe4Bca7ajP6waKm,129533
0.659,0.482,-8.073,0.0453,0.608,0.804,0.113,0.711,89.964,6PWNxmM4RYwT1b2J5hw9pc,184720
0.101,0.0819,-30.735,0.0568,0.989,0.262,0.114,0.0564,79.198,6UOj6Tgpw4KKY872f4A7v2,221733
0.264,0.126,-20.771,0.0797,0.833,0.834,0.0639,0.12,86.606,1fsrcKlp6semHllhgPb9Y7,82667
0.477,0.924,-2.997,0.0758,0.0477,0.0,0.0571,0.269,146.964,3COSRKvFPnpnnorNF4oaMf,284080
0.569,0.935,-3.907,0.114,0.0113,0.0,0.254,0.631,140.984,3cPu8MBdBZ6L12JCoNjN1t,303499
0.627,0.718,-6.156,0.0353,0.42,0.0,0.081,0.315,134.854,3vY9MsOXjf8YEYXQd2yc5g,142182
0.457,0.885,-3.086,0.0453,0.00984,0.0,0.194,0.627,91.351,4Zo6bNpSlXopea1fagsIPy,211080
0.486,0.957,-5.437,0.0714,0.00809,0.0,0.118,0.395,172.215,1CJ1QD3elqA8JFofFVc7pb,220017
0.847,0.108,-15.479,0.123,0.843,0.934,0.204,0.337,140.002,12Ev4G4e47hjSplMShXU6e,144000
0.479,0.103,-17.926,0.0661,0.975,0.876,0.171,0.227,73.484,6jiZOEoAbI591K6oE7tO9a,146263
0.65,0.931,-2.83,0.0707,0.0392,0.0,0.264,0.674,109.983,1b4c2gSEjOvy0tjUKnWJXx,505147
0.71,0.851,-2.633,0.0382,0.0318,0.0,0.342,0.895,134.004,7oa18QwhLsV3JfITGDxslD,219781
0.236,0.112,-16.481,0.0362,0.825,0.00902,0.108,0.0645,121.357,1JiMXczlx132vYlTxEcFA9,516360
0.469,0.392,-9.061,0.0281,0.739,0.00111,0.125,0.808,144.342,4jUmBZz2Umq3R6tkaB1xiI,210213
0.233,0.263,-15.127,0.0418,0.966,0.694,0.359,0.331,99.834,4q4dWUeNCk3ULWK1IxYblZ,62955
0.583,0.969,-3.002,0.0749,0.0089,0.0,0.135,0.482,143.953,51fhSD0fvM2eajvHyhFInO,195618
0.451,0.724,-5.758,0.0409,0.0309,0.0,0.0844,0.284,139.972,0sw4u9EcSC2E6rtCCdglHZ,284423
0.584,0.71,-7.64,0.198,0.151,0.0,0.307,0.924,79.34,4yYkAGcxY6H0NtNaRTzmpH,156800
0.538,0.942,-5.134,0.0551,0.00714,0.00269,0.16,0.217,99.982,7p342aXmnVq44ZTtTRdL7j,250945
0.641,0.719,-7.357,0.0392,0.601,3.65e-05,0.0999,0.795,96.956,1bgNz6CAlfVeLxcEfmQsuw,273093
0.892,0.72,-6.949,0.284,0.214,0.0,0.101,0.832,140.056,14eXdwZrFiTtos87MqN4Ve,222857
0.489,0.719,-6.815,0.0507,0.0189,0.000154,0.149,0.209,128.075,3z80AqFSmoG47eiVY3Fo6W,224493
0.436,0.571,-7.033,0.0292,0.109,0.0,0.347,0.172,89.995,6JI79G3rDwkFFMYdxwtukR,267331
0.512,0.415,-11.236,0.0263,0.763,0.0382,0.135,0.651,105.182,79FJlPAvPAQFUAfz9eN4uO,172267
0.703,0.389,-8.315,0.0334,0.76,9.42e-05,0.125,0.847,139.978,0p8qP2QxmmXl5TfSMS4NH3,187787
0.604,0.594,-9.697,0.0295,0.263,0.0527,0.115,0.557,123.803,2FQroMa87w4nlBhhdDre3J,301800
0.571,0.389,-14.86,0.0352,0.173,0.853,0.138,0.0725,104.998,5l4PuZcYTIpFPpzPdfdSlj,551025
0.221,0.0294,-25.087,0.0536,0.976,0.872,0.101,0.108,156.539,6pdtcJHFPbvBqA5b1cagP1,96747
0.455,0.184,-22.354,0.113,0.854,0.569,0.168,0.369,143.136,6UWZUL60UVWXE2CwbntY7B,575333
0.685,0.672,-8.654,0.0291,0.45,0.000645,0.12,0.668,122.912,5HCTbcF18u5DcYNwEWWf3n,219625
0.405,0.971,-4.422,0.0461,0.000853,5.26e-06,0.332,0.464,96.03,1yId2tab38LIpWhX579thz,272478
0.562,0.755,-5.503,0.0398,0.0441,1.37e-06,0.206,0.512,183.769,1AofrI6TYzXGIrvKk3tjWe,285559
0.603,0.51,-10.868,0.285,0.479,0.00133,0.115,0.401,89.963,0S18dYlmsel6hdF45rn8t9,257335
0.574,0.577,-6.885,0.0561,0.681,0.0,0.242,0.556,151.921,6pSzwRXIWwJNJelTlFDGud,250173
0.69,0.596,-8.087,0.33,0.508,0.0,0.344,0.544,91.804,0rl99X2LTXz2Ot7u0qEujP,200411
0.428,0.439,-8.925,0.0326,0.724,0.817,0.375,0.542,120.207,6f78mkrHsqwMVowCFTjMpi,247757
0.399,0.439,-15.042,0.0571,0.645,0.397,0.11,0.672,86.7,2nMUqih5040nK2Z8q8sco1,292498
0.494,0.274,-10.15,0.029,0.897,0.000241,0.107,0.0835,134.29,4lOP4BFzkPCECQTcVJgZPL,251853
0.224,0.2,-22.495,0.0473,0.971,0.913,0.0842,0.0468,78.861,6sWDkTpxivmsjmBCMms1O2,452613
0.556,0.912,-4.504,0.0415,0.0139,0.0,0.228,0.613,101.701,2aYYKoEGJFH2h5w0TsQ4DW,161120
0.479,0.943,-3.872,0.0451,0.000289,0.0043,0.151,0.468,139.983,3Qwk2xcvEh6VDp5QiKdmS4,286653
0.617,0.876,-4.86,0.304,0.16,3.3e-06,0.111,0.542,135.047,06b0Au6pvZiO03eKTCvgWh,170982
0.679,0.754,-6.633,0.0291,0.0862,0.00382,0.242,0.546,112.872,6eiNg8p7GYO7x0GXM4zplv,271400
0.363,0.643,-9.081,0.0435,0.00695,0.000105,0.0923,0.246,121.698,1icWP49F2rC93ZSFtn9u6U,206665
0.544,0.268,-19.598,0.0322,0.86,0.322,0.151,0.42,128.668,56Uv8bzvUrNrbRspPjA7wv,395625
0.259,0.945,-4.861,0.0547,9.6e-06,0.0975,0.358,0.32,137.36,1TZLjYKZMUw5gsuEYrrbwr,311223
0.323,0.946,-3.04,0.0606,0.000476,0.00914,0.0883,0.504,164.932,5pG2M0EQRjTBaNcK1Ozoed,216573
0.716,0.58,-5.956,0.032,0.0521,0.000109,0.0644,0.594,93.962,0IwS12JNt9V2Ur2eI09tpr,248093
0.558,0.73,-6.664,0.0278,0.0293,4.94e-06,0.475,0.873,127.973,60IzIxSuVAtU71yCmHjxHH,181827
